0,1,2,3,4,5,6,7,8,9
14.868645,16.05563,0.0,3.35293,19.729998,2.223379,18.8861,5.3328466,22.712925,14.113656
8.28514,4.8794265,0.0,8.014879,9.390932,0.0,10.135604,7.735853,2.3372405,2.3826535
5.183456,9.204627,0.0,0.0,8.011648,11.286919,8.548119,2.1429412,10.396067,5.2253666
8.896793,13.067446,0.0,21.751616,20.070969,38.515976,18.106346,9.891371,15.094422,16.404358
5.445437,14.098614,0.0,11.437066,11.797686,1.5246463,9.474589,2.8105674,2.665849,1.4063908
0.0,16.428082,0.0,5.2530136,16.991806,13.500229,17.655497,5.271566,15.693922,11.526049
0.43097365,22.772917,0.0,13.344911,13.21287,9.49271,12.847962,4.1583986,9.897674,4.454579
2.9600925,14.206927,0.0,49.528355,18.693537,20.620838,14.109926,14.2094965,54.642048,9.708569
3.1391904,1.9862878,0.0,16.255,28.39673,5.117594,8.078129,8.68458,5.98064,10.221411
3.4226696,12.541486,0.0,42.25672,18.533997,16.127096,11.695616,11.99632,48.841366,5.6630316
5.739718,6.9693108,0.0,5.6604185,18.808088,17.068153,12.431605,18.45894,9.155051,11.479353
10.890496,22.284855,0.0,7.103856,19.0536,18.648966,36.190826,6.063661,22.780426,14.424141
1.6193496,10.849092,0.0,50.90895,20.230915,16.251163,10.325187,11.439638,55.995716,9.223987
1.9987267,11.617525,0.0,48.6914,22.824085,16.303978,9.3063545,11.721409,55.063137,9.0445
13.73862,23.716042,0.0,18.085514,19.955929,38.000423,27.730263,17.683033,35.01804,10.264645
8.078114,14.107835,0.0,21.82803,13.0811825,27.888638,18.575733,6.245886,14.72684,15.29441
2.6066628,0.29521844,0.0,10.259608,3.8990679,13.463696,8.070906,1.8317612,9.177992,0.0
6.345041,5.7067637,0.0,1.099273,1.3349293,5.474355,6.7583327,1.5069084,0.0,0.0
6.779258,5.1205297,0.0,2.5695913,14.350739,7.4993806,28.417067,11.017353,8.772631,13.727115
2.670259,17.58046,0.0,26.719906,10.327961,4.831679,15.573778,5.694135,42.117165,3.9253283
7.2726903,13.18638,0.0,12.968942,8.870626,15.746043,15.725521,3.1568346,30.220373,2.0528345
8.290363,3.0848315,0.0,2.2039812,6.2301955,11.177368,16.455921,3.9657404,8.39934,7.4656057
6.580515,12.600602,0.0,16.931744,16.055964,33.03134,13.311857,15.893241,12.431183,17.64098
